Rank,State,"Violent Crime Rate Per 100,000 Inhabitants"
1,Alaska,804
2,New Mexico,703
3,Nevada,678
4,Tennessee,633
5,Louisiana,566
6,Arkansas,551
7,Alabama,532
8,Missouri,519
9,Delaware,509
10,South Carolina,502
11,Maryland,472
12,Arizona,470
13,Michigan,459
14,Oklahoma,450
15,California,445
16,Illinois,436
17,Texas,434
18,Florida,430
19,South Dakota,418
20,Indiana,405
21,Georgia,398
22,Kansas,380
23,Massachusetts,377
24,New York,376
25,North Carolina,372
26,Montana,368
27,West Virginia,358
28,Colorado,343
29,Pennsylvania,316
30,Hawaii,309
31,Wisconsin,306
32,Washington,302
33,Ohio,300
34,Nebraska,291
35,Iowa,291
36,Mississippi,281
37,Oregon,265
38,North Dakota,251
39,New Jersey,245
40,Wyoming,244
41,Utah,243
42,Minnesota,243
43,Rhode Island,239
44,Kentucky,232
45,Idaho,230
46,Connecticut,227
47,Virginia,218
48,New Hampshire,198
49,Vermont,158
50,Maine,124
